127.0.0.1 - - [11/Feb/2020:11:28:35 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [11/Feb/2020:11:28:36 +0530] "GET /JspEx/index.html HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Feb/2020:11:53:08 +0530] "GET /JspEx/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:11:53:10 +0530] "GET /JspEx/Name.html HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:08:51 +0530] "GET /JspEx/Name.html HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:14:33 +0530] "GET /JspEx/index.html HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:14:35 +0530] "GET /JspEx/Name.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:20:43 +0530] "GET /JspEx/DataFetch.jsp HTTP/1.1" 500 2340
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:21:15 +0530] "GET /JspEx/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:21:17 +0530] "GET /JspEx/Name.html HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:21:22 +0530] "GET /JspEx/DataFetch.jsp?id=844434 HTTP/1.1" 500 3797
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:21:22 +0530] "GET /JspEx/DataFetch.jsp?id=844434 HTTP/1.1" 500 3797
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:22:11 +0530] "GET /JspEx/DataFetch.jsp HTTP/1.1" 500 2356
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:22:25 +0530] "GET /JspEx/Name.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:22:30 +0530] "GET /JspEx/DataFetch.jsp?id=844434 HTTP/1.1" 500 2356
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:23:10 +0530] "GET /JspEx/DataFetch.jsp HTTP/1.1" 500 3797
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:23:18 +0530] "GET /JspEx/Name.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:23:25 +0530] "GET /JspEx/DataFetch.jsp?id=844434 HTTP/1.1" 500 3797
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:25:13 +0530] "GET /JspEx/Name.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:25:17 +0530] "GET /JspEx/DataFetch.jsp?id=844434 HTTP/1.1" 500 3797
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:46:40 +0530] "GET /JspEx/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:46:41 +0530] "GET /JspEx/Name.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:46:47 +0530] "GET /JspEx/DataFetch.jsp?id=844434 HTTP/1.1" 500 3797
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:49:06 +0530] "GET /JspEx/DataFetch.jsp?id=844434 HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:49:18 +0530] "GET /JspEx/FinalUpdate.jsp?id=844434&name=vijeta&dept=developmnt&desig=PAT&cmpny=cogniznt&email=vj.er16@gmail.com&submit=Update HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:51:52 +0530] "GET /JspEx/FinalUpdate.jsp HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:52:40 +0530] "GET /JspEx/FinalUpdate.jsp HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:52:46 +0530] "GET /JspEx/Name.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:52:53 +0530] "GET /JspEx/DataFetch.jsp?id=844434 HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:52:54 +0530] "GET /JspEx/FinalUpdate.jsp?id=844434&name=vijeta&dept=developmnt&desig=PAT&cmpny=cogniznt&email=vj.er16@gmail.com&submit=Update HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:54:23 +0530] "GET /JspEx/DataFetch.jsp?id=844434 HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [11/Feb/2020:12:54:34 +0530] "GET /JspEx/FinalUpdate.jsp?id=844434&name=vijeta+pandey&dept=developmnt&desig=PAT&cmpny=cogniznt&email=vj.er16@gmail.com&submit=Update HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [11/Feb/2020:13:00:09 +0530] "GET /JspEx/FinalUpdate.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [11/Feb/2020:13:07:39 +0530] "GET /JspEx/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:13:07:41 +0530] "GET /JspEx/Name.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2020:13:07:46 +0530] "GET /JspEx/DataFetch.jsp?id=844434 HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [11/Feb/2020:13:07:47 +0530] "GET /JspEx/FinalUpdate.jsp?id=844434&name=vijeta&dept=developmnt&desig=PAT&cmpny=cogniznt&email=vj.er16@gmail.com&submit=Update HTTP/1.1" 200 493
